Wavelength (nm),Air_n,Air_k,Spiro_n,Spiro_k,TiO2_n,TiO2_k,SodaLime_n,SodaLime_k,Perov_n,Perov_k,PerovPtPt_n,PerovPtPt_k,Au_n,Au_k,SnO2_n,SnO2_k,SiO2_n,SiO2_k,FTO_n,FTO_k,FTema_n,FTema_k,FAema_n,FAema_k,TPema_n,TPema_k,SpiroTFSI4Ox_n,SpiroTFSI4Ox_k,SpOxema_n,SpOxema_k
301,1,0,1.61701,0.25452,2.67767,0.62089,1.54873,5.90E-05,1.48952,0.8304,1.54105,0.87625,1.53,1.88904,2.08242,0.15092,1.50886,0,2.16589,0.0333,2.27183,0.16484,1.7408,0.02115,2.24501,0.70247,1.6418,0.25195,1.62E+00,2.54E-01
302,1,0,1.62022,0.25795,2.68572,0.60651,1.54837,5.62E-05,1.48478,0.8345,1.53797,0.87752,1.53,1.88945,2.0814,0.14629,1.50861,0,2.16251,0.03196,2.26866,0.16262,1.73865,0.0203,2.24828,0.69505,1.64526,0.25432,1.62E+00,2.58E-01
303,1,0,1.6236,0.26089,2.69355,0.59251,1.548,5.35E-05,1.4804,0.83925,1.54091,0.88246,1.53,1.88986,2.08031,0.14179,1.50837,0,2.15922,0.03071,2.26555,0.16046,1.73658,0.01951,2.25154,0.68812,1.64898,0.25619,1.63E+00,2.60E-01
304,1,0,1.62709,0.26335,2.70112,0.57898,1.54764,5.09E-05,1.47642,0.84455,1.53965,0.88679,1.53,1.89027,2.07896,0.13746,1.50813,0,2.15604,0.02957,2.26253,0.15839,1.73453,0.01878,2.25478,0.68169,1.65279,0.25748,1.63E+00,2.63E-01
305,1,0,1.63072,0.26535,2.70854,0.56568,1.54727,4.84E-05,1.47298,0.85049,1.53359,0.89215,1.53,1.89067,2.07759,0.13318,1.50788,0,2.15289,0.02846,2.25949,0.15632,1.73256,0.01807,2.25814,0.67567,1.65663,0.25873,1.63E+00,2.65E-01
306,1,0,1.63444,0.26688,2.71577,0.55265,1.54694,4.59E-05,1.46993,0.85698,1.53408,0.89627,1.53,1.89108,2.076,0.12911,1.50764,0,2.14984,0.02744,2.25647,0.15432,1.73061,0.01743,2.26152,0.67002,1.66018,0.26015,1.64E+00,2.66E-01
307,1,0,1.63822,0.26802,2.72261,0.54013,1.54664,4.35E-05,1.4674,0.86393,1.53882,0.90208,1.53,1.89149,2.07437,0.12514,1.5074,0,2.14684,0.02648,2.25359,0.15235,1.72871,0.01681,2.26485,0.66488,1.66403,0.26113,1.64E+00,2.67E-01
308,1,0,1.64202,0.26876,2.73011,0.52822,1.54628,4.12E-05,1.46538,0.87129,1.542,0.90724,1.53,1.8919,2.07266,0.12131,1.50715,0,2.14391,0.02556,2.25071,0.15042,1.72688,0.01623,2.26879,0.66029,1.66761,0.26194,1.64E+00,2.68E-01
309,1,0,1.64579,0.26914,2.73736,0.51608,1.54591,3.89E-05,1.46386,0.87895,1.53688,0.91191,1.53,1.89231,2.07087,0.11767,1.50691,0,2.14102,0.02472,2.24791,0.14854,1.72507,0.01569,2.27276,0.65567,1.67128,0.26247,1.65E+00,2.68E-01
310,1,0,1.64954,0.26914,2.74509,0.5038,1.54555,3.67E-05,1.46291,0.88704,1.53644,0.91447,1.53,1.89271,2.06903,0.11412,1.50668,0,2.13822,0.02391,2.24511,0.14668,1.72326,0.01518,2.27725,0.65114,1.67452,0.26285,1.65E+00,2.69E-01
311,1,0,1.65324,0.2688,2.75231,0.49212,1.54518,3.46E-05,1.46242,0.89544,1.53654,0.92019,1.53031,1.89315,2.06708,0.11073,1.50652,0,2.13554,0.02315,2.24234,0.14486,1.72155,0.0147,2.28159,0.64711,1.67796,0.26295,1.66E+00,2.68E-01
312,1,0,1.65684,0.26816,2.7596,0.47959,1.54488,3.25E-05,1.46248,0.90408,1.53447,0.92721,1.53134,1.89367,2.06512,0.10745,1.50628,0,2.13286,0.02243,2.2396,0.14306,1.71985,0.01424,2.2862,0.64266,1.68102,0.26297,1.66E+00,2.68E-01
313,1,0,1.66029,0.26725,2.76692,0.46718,1.54455,3.06E-05,1.46301,0.91286,1.53948,0.93629,1.53237,1.89419,2.06311,0.10431,1.50604,0,2.1302,0.02174,2.2369,0.14129,1.71815,0.0138,2.291,0.63834,1.68399,0.26282,1.66E+00,2.67E-01
